T,mu_B,curv_R
300.0,0.0,0.012524382448575387
298.0,0.0,0.012723978443293387
296.0,0.0,0.012926851910079603
294.0,0.0,0.013133267839440356
292.0,0.0,0.013343542367950238
290.0,0.0,0.01355804790822078
288.0,0.0,0.013777217785274009
286.0,0.0,0.014001550048015702
284.0,0.0,0.014231610062457703
282.0,0.0,0.01446803143390423
280.0,0.0,0.014711514752966207
278.0,0.0,0.01496282362001878
276.0,0.0,0.015222777379839616
274.0,0.0,0.015492239996907877
272.0,0.0,0.015772104524907342
270.0,0.0,0.016063272670360867
268.0,0.0,0.016366629014565585
266.0,0.0,0.016683009527309774
264.0,0.0,0.017013164059470575
262.0,0.0,0.017357712507683674
260.0,0.0,0.01771709425928428
258.0,0.0,0.018091510291080058
256.0,0.0,0.018480856835005117
254.0,0.0,0.018884648736846484
252.0,0.0,0.01930192938581209
250.0,0.0,0.019731162192450996
248.0,0.0,0.020170095760532743
246.0,0.0,0.020615590705315805
244.0,0.0,0.02106338983543914
242.0,0.0,0.02150780403395606
240.0,0.0,0.021941271823895162
238.0,0.0,0.022353728238193545
236.0,0.0,0.02273168307106937
234.0,0.0,0.02305685100780756
232.0,0.0,0.023304081097874088
230.0,0.0,0.02343817337820708
228.0,0.0,0.02340889770678116
226.0,0.0,0.023143056935940483
224.0,0.0,0.02253160696198032
222.0,0.0,0.021408383411048636
220.0,0.0,0.019514425225719213
218.0,0.0,0.016437562490170497
216.0,0.0,0.011510363576816701
214.0,0.0,0.0036426333262423722
212.0,0.0,-0.008929059670388291
210.0,0.0,-0.028916783797949222
208.0,0.0,-0.05990694497338096
206.0,0.0,-0.10472022061254105
204.0,0.0,-0.16026087053284488
202.0,0.0,-0.21116264883636435
200.0,0.0,-0.2363194675829531
198.0,0.0,-0.23140511813877498
196.0,0.0,-0.21328996810950754
194.0,0.0,-0.200268534589986
192.0,0.0,-0.20136069236686224
190.0,0.0,-0.21949447530472854
188.0,0.0,-0.25653383593789564
186.0,0.0,-0.31621430214618274
184.0,0.0,-0.40614610157152514
182.0,0.0,-0.5405540665402099
180.0,0.0,-0.7455873250135799
178.0,0.0,-1.0701664097332673
176.0,0.0,-1.6058496722340916
174.0,0.0,-2.4929881690762685
172.0,0.0,-3.5719641429117406
170.0,0.0,-1.912349693799398
168.0,0.0,5.050584613461476
166.0,0.0,8.70044589737567
164.0,0.0,8.972305966490339
162.0,0.0,8.238312270762568
160.0,0.0,7.250448248197973
158.0,0.0,6.182182115262082
156.0,0.0,5.057717427734926
154.0,0.0,3.862441403643434
152.0,0.0,2.5712618242238854
150.0,0.0,1.1557769307986552
148.0,0.0,-0.4144108839476631
146.0,0.0,-2.172120971185487
144.0,0.0,-4.153603026493743
142.0,0.0,-6.399823621335881
140.0,0.0,-8.957993591953569
138.0,0.0,-11.883396237553873
136.0,0.0,-15.241625236219596
134.0,0.0,-19.111382203609267
132.0,0.0,-23.588033327133935
130.0,0.0,-28.78818956732557
128.0,0.0,-34.85566995029379
126.0,0.0,-41.96933530917994
124.0,0.0,-50.35346568775399
122.0,0.0,-60.29161578698365
120.0,0.0,-72.14525704920558
118.0,0.0,-86.37905336175605
116.0,0.0,-103.59539782905425
114.0,0.0,-124.58197822548809
112.0,0.0,-150.37781788475436
110.0,0.0,-182.36573255538423
108.0,0.0,-222.40287988138067
106.0,0.0,-273.0067266301693
104.0,0.0,-337.62237948900787
102.0,0.0,-421.01051228228846
100.0,0.0,-529.8158128262297
98.0,0.0,-673.408438220431
96.0,0.0,-865.1428007853018
94.0,0.0,-1124.2614800653096
92.0,0.0,-1478.8081427386321
90.0,0.0,-1970.1380900566328
88.0,0.0,-2659.9912497263385
86.0,0.0,-3641.731195331935
84.0,0.0,-5058.454781000456
82.0,0.0,-7132.605039447205
80.0,0.0,-10215.15344928792
78.0,0.0,-14868.641445500205
76.0,0.0,-22009.867307734276
74.0,0.0,-33159.66947563793
72.0,0.0,-50888.965436277365
70.0,0.0,-79632.34809680915
68.0,0.0,-127206.30570995297
66.0,0.0,-207712.48686922423
64.0,0.0,-347237.8612500774
62.0,0.0,-595369.5102971465
60.0,0.0,-1.0491719311624912e6
58.0,0.0,-1.9049189505798214e6
56.0,0.0,-3.5735274527159617e6
54.0,0.0,-6.94925109846612e6
52.0,0.0,-1.4062627332886672e7
50.0,0.0,-2.974633370831676e7
48.0,0.0,-6.611968373963145e7
46.0,0.0,-1.55404441183473e8
44.0,0.0,-3.8908232482699686e8
42.0,0.0,-1.0468830605136129e9
40.0,0.0,-3.059445700106689e9
38.0,0.0,-9.83697236660925e9
36.0,0.0,-3.5349576806052895e10
34.0,0.0,-1.4475864553771167e11
32.0,0.0,-6.92105772713759e11
30.0,0.0,-3.9836705121598037e12
28.0,0.0,-2.8711699969232098e13
26.0,0.0,-2.7275809741212628e14
24.0,0.0,1.1666702051238926e13
22.0,0.0,-7.588603677083258e16
20.0,0.0,3.371195614411591e15
18.0,0.0,4.838862832712723e15
16.0,0.0,-2.582814072255922e18
14.0,0.0,-3.208793623470346e20
12.0,0.0,-1.3511385497376834e21
10.0,0.0,-2.3772984054456134e21
